,subject_uuid,day_of_crit,session_date,session_start_time,subject_nickname,performance,performance_easy,n_trials_date,training_day,training_week,reaction_time,median_rt,learning_speed,rt_fast,rt_slow,quiescent_period,rep_errors,bias
0,00778394-c956-408d-8a6c-ca3b05a611d5,25,2019-08-13 00:00:00,2019-08-13 10:28:45,KS019,0.408072,0.408072,223,3,0,[5.22099921 4.47675039 5.6278832  5.42579092],5.187855929565533,2,0.4829000000001997,6.919200000000274,0.9498999999999569,54.0,0.22193619564218076
1,019a22c1-b944-4494-9e38-0e45ae6697bf,16,2019-08-29 00:00:00,2019-08-29 11:09:28,SWC_022,0.47654,0.47654,682,3,0,[1.89401899 2.18441545 0.99648457 0.75345449],1.4570933774414243,1,0.5768005000002177,3.1441005000001496,0.8320999999999685,191.0,4.250780901383312
2,02120449-9b19-4276-a434-513886c2fb19,50,2019-03-09 00:00:00,2019-03-09 15:18:32,ibl_witten_07,0.257576,0.257576,132,3,0,[17.0078 12.0282  3.1861  2.5694],8.69787500000001,3,0.6844999999999573,13.862199999999916,0.7485499999999661,75.0,320.0
3,05e97eea-64e2-4e52-a78a-5b78875b4fa3,49,2019-03-19 00:00:00,2019-03-19 11:33:06,KS004,0.515152,0.515152,297,3,0,[5.14322578 6.98285078 5.30966914 6.28565669],5.930350598144457,3,0.5114009999997506,6.41530049999983,,45.0,1.5239237181683225
4,063bc242-80a7-4356-abfe-bc9d475fa8e1,41,2018-09-19 00:00:00,2018-09-19 12:36:02,IBL_16,0.511335,0.511335,397,3,0,[0.66379247 0.59139421 0.6570353  0.93784528],0.7125168147176737,3,0.37213531797885935,2.2809046219669185,0.19894704961916432,104.0,0.5299442364983575
5,069f108c-c144-40c1-953d-2502950de79d,15,2019-09-26 00:00:00,2019-09-26 16:54:30,CSK-scan-007,0.439863,0.439863,291,3,0,[2.89788243 2.67580361 3.61883702 2.75714453],2.9874169003906488,1,0.5584999999999809,3.6129009999999653,,50.0,1.949969068976183
6,0812d02d-d62b-416d-8b66-7956db34ee32,9,2020-02-24 00:00:00,2020-02-24 13:56:10,ibl_witten_19,0.399118,0.399118,907,3,0,[1.04176155 0.89570322 0.58147472 0.49357581],0.753128823486378,0,0.5396010000001752,1.722600500000226,,328.0,9.70227688977689
7,082fa374-a10c-4c47-9c50-1c23e7490e30,20,2020-02-19 00:00:00,2020-02-19 13:16:24,SWC_038,0.513916,0.513916,1006,3,0,[0.70901467 0.65739719 0.5952217  0.56282075],0.6311135791013953,2,0.4540510000001632,2.0615020000000186,,142.0,2.219101400063975
8,0867050b-3bfe-4ea9-bdde-2e7b619f97fa,29,2019-11-21 00:00:00,2019-11-21 17:29:46,ZM_2242,0.214511,0.214511,317,3,0,[5.2248645  5.32412043 7.21630569 4.67690814],5.610549690673736,2,0.7772000000001071,5.511750000000035,0.6576000000000022,197.0,95.22545454545454
9,0932d382-3fd4-4688-88d1-a0156cadd488,4,2019-08-21 00:00:00,2019-08-21 18:01:41,CSH_ZAD_007,0.912088,0.987854,546,3,0,"[0.43019546 0.44534045 0.56982012 0.65238711 3.58045411 4.40781797
 0.77260254 0.65631255 0.54589258 0.53823369 0.46539492]",1.1876774090909572,0,0.47470000000021173,3.4136009999999715,0.6867000000002008,11.0,1.1131448068470968
10,0936a724-2151-446f-98b2-92c3e9dd36dc,10,2019-03-06 00:00:00,2019-03-06 14:16:57,CSHL_007,0.658385,0.658385,322,3,0,[4.696   4.2418  3.7351  4.37395],4.261712500000009,0,0.48890000000005784,4.883599999999888,1.2553000000000623,28.0,1.9493861607142857
11,0a47477d-e76f-43d8-a5b3-9b985707ad3f,12,2020-01-30 00:00:00,2020-01-30 09:45:31,DY_013,0.64127,0.64127,315,3,0,[6.36570914 3.92767678 5.00672092 8.53112842],5.957808815917982,1,0.6157000000000039,7.357299999999952,,48.0,1.2956663560111836
12,0bde9528-5bed-4ba5-a95a-a250cd769bbe,57,2019-11-20 00:00:00,2019-11-20 10:26:53,SWC_029,0.447977,0.447977,692,3,0,[2.20001221 2.11132812 2.26394844 2.7411499 ],2.3291096687316895,3,,,,142.0,1.1627831010452963
13,0cd0b05f-fbee-40c0-b2e2-07708c90dead,31,2020-01-30 00:00:00,2020-01-30 09:46:14,DY_015,0.274336,0.274336,113,3,0,[48.5792967  32.9721833  34.71753287 34.15111663],37.60503237573248,3,0.7058009999996102,44.12530099999981,,40.0,inf
14,0f47b24d-3909-428c-a18d-666006c7c834,28,2019-10-18 00:00:00,2019-10-18 13:05:44,NYU-11,0.286432,0.286432,199,3,0,[30.30189895 15.0415008  23.88684553 44.40403169],28.408569243164152,2,0.6118020000003526,25.732100999999773,0.6489999999998872,77.0,13.908496732026144
15,0fbb1324-1ac7-445a-8831-8fc2225338ca,5,2019-08-21 00:00:00,2019-08-21 18:24:00,CSH_ZAD_010,0.905286,0.959259,454,3,0,"[0.3623969  0.43519973 0.70742432 3.4750637  2.57407551 2.14465352
 1.98903039 2.22461179]",1.7390569816894548,0,0.4487010000001419,3.4794010000000526,0.6413499999999885,6.0,1.0450772469121092
16,10a1fd99-5d9d-4a64-827b-f198627e330f,7,2019-09-26 00:00:00,2019-09-26 15:55:21,CSK-scan-006,0.705021,0.705021,478,3,0,[0.75637912 1.24547594 3.81827187 3.68091947],2.3752616020506707,0,0.5716000000002168,4.065200000000004,0.6745500000000106,28.0,0.5125722841800909
17,10fd3170-6c52-4cb6-986f-aa73704277c0,14,2019-06-20 00:00:00,2019-06-20 16:31:05,CSHL_015,0.379714,0.379714,769,3,0,[2.6989  2.4413  2.1084  2.13395],2.345637500000043,1,0.5045010000003458,2.8460505000001177,0.7606999999998152,262.0,6.582397372742201
18,11a7eff3-48db-42e3-9727-344270357e24,16,2019-05-29 00:00:00,2019-05-29 14:33:02,ZM_1742,0.610778,0.610778,668,3,0,[0.4653  0.4941  0.37115 0.3076 ],0.4095375000000274,1,0.3226009999998496,3.1708010000002105,0.7148999999999432,96.0,3.164410765612751
19,1208c089-8b8e-4a87-98f0-05a68fb18370,63,2018-09-19 00:00:00,2018-09-19 11:00:11,IBL_13,0.511737,0.511737,213,3,0,[1.3133348  1.53895532 0.91654323 1.60908255],1.3444789733184734,3,0.511069610495781,2.7317245183465957,0.19898788398131728,46.0,0.6861184792219275
20,122205e8-0a31-41ce-9632-30e7857a959d,44,2018-08-17 00:00:00,2018-08-17 12:07:17,IBL_35,0.397683,0.397683,259,3,0,[4.20151645 2.44873408 3.12062039 3.61525303],3.346530987226288,3,0.4065382633339141,5.588752374410035,0.19816449738573283,99.0,0.4289097590853409
21,13e59361-a2e8-4e2d-8636-ae0961fd941c,6,2019-01-31 00:00:00,2019-01-31 17:20:10,ZM_1093,0.710084,0.710084,714,3,0,[0.6991 0.7916 0.6894 0.6007],0.6952000000000425,0,0.581299999999942,2.924250000000029,1.9310499999999848,49.0,1.2168931937718066
22,155b6df6-02eb-4153-a997-c8dbe283a0dc,21,2019-05-22 00:00:00,2019-05-22 13:32:33,CSK-les-008,0.576623,0.576623,385,3,0,[0.8002 0.7746 3.2193 2.1848],1.744724999999966,2,0.5968505000000732,4.034399999999999,1.2610999999999422,78.0,0.239025511376695
23,15f98ab5-20d8-4345-a5de-21912a39575f,29,2019-11-06 00:00:00,2019-11-06 09:35:43,CSHL047,0.262181,0.262181,431,3,0,[2.90217952 2.69250854 4.75075784 3.79085946],3.5340763391112873,2,0.5382000000000176,4.759901000000127,0.6694999999999709,215.0,0.036311104169920345
24,1627878b-0863-4241-9396-43f89d6d70af,5,2019-11-22 00:00:00,2019-11-22 11:41:52,DY_010,0.794195,0.802326,379,3,0,[0.85144054 0.65978936 0.65615798 1.03594707 1.5510311  1.08790236],0.9737114013672349,0,0.44489999999996144,7.39394999999999,0.6441000000000088,23.0,1.0227958646375135
25,16816978-d32d-4647-83b4-055fcf993bf8,10,2020-01-13 00:00:00,2020-01-13 15:15:31,NYU-20,0.251142,0.251142,219,3,0,[ 9.78224651  7.24862893  7.63869961 10.21612385],8.721424724487296,0,0.4271500000000117,8.869051000000013,,122.0,0.01677984174196083
26,18a54f60-534b-4ed5-8bda-b434079b8ab8,15,2019-08-07 00:00:00,2019-08-07 09:32:10,KS014,0.388724,0.388724,337,3,0,[4.24536289 4.31871953 2.93609746 2.91800703],3.6045467285156576,1,0.4598499999999319,5.853000999999949,0.6901000000000295,107.0,7.91147455867082
27,19cf7867-e2d2-4a12-93be-9371fe1a293c,14,2019-03-06 00:00:00,2019-03-06 18:01:36,CSHL_010,0.535637,0.535637,463,3,0,[1.2081  0.9462  1.673   1.37305],1.3000875000000107,1,0.47970049999997855,2.154700000000048,2.6200999999999794,67.0,0.7780917910324426
28,1a8fa9b4-399b-4175-8c32-e552aaa2541b,12,2019-03-27 00:00:00,2019-03-27 16:46:15,ZM_1373,0.59322,0.59322,236,3,0,[3.6778 3.0946 3.4787 3.8489],3.525000000000034,1,0.5570999999999913,4.065899999999999,1.1251500000000192,30.0,1.0346854791299234
29,1c420533-3f46-43dd-98bf-4a4c30093f11,11,2019-06-05 00:00:00,2019-06-05 08:23:20,CSK-les-009,0.562923,0.562923,739,3,0,[0.4733 0.5503 1.1152 0.9722],0.7777499999997133,1,0.329851500000359,6.808802000000014,0.6935999999996056,128.0,0.42671604814694325
30,1d1e50b4-bbc9-46f6-acf9-f0fe16c3849e,8,2020-02-13 00:00:00,2020-02-13 11:25:29,ZM_3004,0.603627,0.603627,772,3,0,[0.34512268 0.41778273 0.47870786 0.46461094],0.4265560512694577,0,0.3803000000000054,2.3739004999999906,,140.0,0.24593391283278312
31,1d785ee9-76b0-42b2-9cd2-3982ccd4bf88,22,2019-05-29 00:00:00,2019-05-29 15:37:33,ZM_1747,0.613982,0.613982,987,3,0,[0.3745 0.3662 0.3103 0.3474],0.3496000000000379,2,0.32885099999987233,3.2317010000001574,0.6538000000000466,115.0,1.6459532605893978
32,1fce4668-e99f-4e50-9f75-961842781a23,81,2018-08-17 00:00:00,2018-08-17 13:44:45,IBL_36,0.440771,0.440771,363,3,0,[1.55576685 1.38722006 1.0725029  1.0738291 ],1.27232973005448,3,0.42282555159351887,2.973191641730864,0.19890422676689923,113.0,1.5759674922600617
33,20086e93-a271-4a57-89fc-15604d8e92c0,11,2020-02-27 00:00:00,2020-02-27 10:58:21,CSH_ZAD_022,0.38787,0.38787,709,3,0,[1.78256038 2.44624475 0.9637916  0.66608655],1.464670818359565,1,0.5154010000001108,3.627351000000317,0.8111999999999853,278.0,12.057535353535354
34,204d40b0-7ea8-49b3-835c-05b47ec8801b,6,2019-05-29 00:00:00,2019-05-29 15:30:50,ZM_1746,0.747837,0.756944,809,3,0,[1.5366 1.687  3.9213 5.5617 2.5594 2.2899],2.9259833333333254,0,0.4584000000000401,3.4868999999999915,0.6990000000000691,35.0,1.1436170212765957
35,20712965-a9c8-4112-a4a8-166b31cf1bca,10,2019-07-18 00:00:00,2019-07-18 12:21:30,CSK-scan-002,0.45583,0.45583,283,3,0,[4.6015407  5.73769299 5.82604651 4.26969713],5.1087443319091435,0,0.6327505000000322,5.654900999999995,1.4687000000000126,54.0,0.43793272256801175
36,20ed6bed-9bfd-44f9-8c57-a9344e206cfd,15,2019-11-21 00:00:00,2019-11-21 18:05:34,ZM_2245,0.47807,0.47807,912,3,0,[0.90776606 0.97184536 1.01930434 0.93727778],0.9590483867187913,1,0.5561020000000099,1.6356009999999515,1.6672999999999547,174.0,1.1507438016528926
37,217d49ae-ada9-48be-a77e-9704c9e57855,18,2019-03-28 00:00:00,2019-03-28 13:03:09,NYU-01,0.718672,0.718672,1205,3,0,[2.2833 2.3869 1.0291 0.7619],1.6153000000001327,1,0.5587500000000318,3.320600999999442,0.8002999999998792,90.0,0.468720913143585
38,221b68e7-0014-46ae-b8af-308665d8b478,20,2019-11-14 00:00:00,2019-11-14 10:39:06,CSHL053,0.164773,0.164773,352,3,0,[0.56069457 0.71911077 3.332626   4.97039358],2.395706227905201,2,0.5176000000000158,6.333100999999942,0.6303000000000338,240.0,0.0016018173345759552
39,24ccb0ca-c7cb-4cf0-844c-bd426af9bc56,60,2018-09-19 00:00:00,2018-09-19 13:07:44,IBL_17,0.470085,0.470085,234,3,0,[1.11306364 1.24004957 1.91864462 0.93304803],1.3012014656851534,3,0.4314204961667656,3.3382509017046686,0.19904141363804229,70.0,0.5192474048442907
40,2714cd11-363a-44bd-b57d-c91870ad0671,33,2019-11-01 00:00:00,2019-11-01 10:26:18,NYU-14,0.584416,0.584416,231,3,0,[5.77268809 6.67106592 6.25372998 5.44447842],6.035490600586012,3,0.39154999999993834,6.323699999999917,0.7444000000000415,26.0,0.7576393442622951
41,274bb80c-2acc-470a-bfb4-24d38a1b3d06,13,2019-02-09 00:00:00,2019-02-09 23:15:29,ibl_witten_06,0.73665,0.73665,1367,3,0,[0.5271 0.7143 0.4792 0.4387],0.5398249999999507,1,0.39830200000028526,3.173402000000351,0.7477000000000089,48.0,1.157636672263326
42,27d08c9d-6013-42d8-bab5-1e788f230b2e,45,2019-05-20 00:00:00,2019-05-20 11:45:39,SWC_001,0.283747,0.283747,363,3,0,[1.04908313 1.82942248 2.54907444 3.07312473],2.1251761953124912,3,0.3041005000000041,3.9365009999999074,,177.0,0.037608354378540716
43,28e692f5-8357-4fd1-be11-22943c560006,17,2020-01-22 00:00:00,2020-01-22 11:48:02,CSHL060,0.489908,0.489908,545,3,0,[2.37990959 3.35070117 4.30151936 3.5753099 ],3.401860006103348,1,0.5991010000007009,4.309700000000021,,138.0,0.15280520616575435
44,29a27868-db95-4c6d-a1cc-7c9226f032a3,13,2019-09-05 00:00:00,2019-09-05 14:55:58,CSHL_019,0.425795,0.425795,566,3,0,[3.27745471 3.32628264 3.81618039 3.13199036],3.387977025390697,1,0.5317009999998845,3.8394020000005185,0.7092999999999279,166.0,0.15946182728410513
45,2a8a62f8-7808-4b41-a259-0aca3cc8b7c8,11,2019-09-19 00:00:00,2019-09-19 17:13:11,ZM_2102,0.413625,0.413625,822,3,0,[1.67135139 1.51121028 1.32312812 1.14111216],1.4117004875490053,1,0.44935099999997874,2.6188510000002907,0.6647000000000389,248.0,4.703807591310575
46,2cbfb932-ed7e-47b1-893f-100f9329c21c,25,2019-03-18 00:00:00,2019-03-18 13:05:22,KS003,0.403315,0.403315,181,3,0,[8.63995 6.12245 7.1065  7.14095],7.252462499999966,2,0.36790000000019063,8.99970050000013,1.5449000000000979,60.0,7.48894783377542
47,2d4291f4-a426-4fc4-9ef1-8d13bfd450f4,29,2019-08-14 00:00:00,2019-08-14 13:42:31,CSP003,0.489474,0.489474,380,3,0,[2.35774055 2.55694221 2.39847971 2.43647637],2.4374097102051024,2,0.6280005000000415,2.971551000000204,0.8492000000000175,66.0,3.2028985507246377
48,2f1b7046-9c58-4076-a7c5-7c386293dc89,7,2019-05-31 00:00:00,2019-05-31 10:32:01,DY_006,0.759036,0.759036,249,3,0,[0.95089707 1.71481182 7.51529268 6.33799254],4.129748524639209,0,0.49000000000006594,7.08420000000001,,14.0,0.602687338501292
49,31b27d1f-4b3c-465f-a6bf-32e870797b4a,18,2020-02-13 00:00:00,2020-02-13 15:22:01,ZM_3003,0.496957,0.496957,493,3,0,[0.34088281 0.4322584  0.90848965 0.63024082],0.577967919921889,1,0.3908999999999878,2.1549999999999727,,110.0,0.1553488223143804
50,33eeea5f-f287-4234-85bd-512900d63c1f,45,2019-08-14 00:00:00,2019-08-14 13:41:20,SWC_017,0.465035,0.465035,286,3,0,[3.46829199 3.78144316 4.49665503 4.53700635],4.07084913330074,3,0.5072000000000401,4.698650000000271,,67.0,0.21340453938584777
51,34d5b181-e7c8-4022-aab7-fce1e2640b57,42,2018-10-17 00:00:00,2018-10-17 16:13:54,IBL_45,0.481061,0.48289,264,3,0,[ 1.99999673  2.5418995  19.0826224   2.46028291  1.3120681 ],5.479373926785774,3,0.5328439503489335,4.17875465939278,0.1981458359514363,67.0,3.100206374684705
52,34ff50d4-42cf-41f7-8c38-ab631ca84d74,26,2019-02-11 00:00:00,2019-02-11 11:46:22,IBL-T4,0.248428,0.248428,318,3,0,[ 9.7913  22.52385 10.8039   9.129  ],13.062012499999923,2,0.6477010000007795,15.093702000000121,1.351799999999912,143.0,0.07088534940450567
53,354e6122-de4a-4945-bafd-d46df65768f6,20,2019-08-07 00:00:00,2019-08-07 09:45:13,KS016,0.245614,0.245614,57,3,0,[30.27835742 53.84076426 60.02728066 55.30448984],49.86272304687503,2,,53.64299999999996,,22.0,7.428571428571429
54,3614ee37-c892-4eb4-ab83-f6c1f3804977,33,2019-11-14 00:00:00,2019-11-14 15:02:29,CSHL055,0.442434,0.442434,608,3,0,[1.38835959 1.08908508 1.37340056 1.10684983],1.2394237658692973,3,0.45860199999970064,2.798900999999887,1.273200000000088,156.0,5.749105966497271
55,39b5e079-a67f-4b70-99d9-e11f3fbc7cc8,18,2019-07-18 00:00:00,2019-07-18 14:10:01,CSK-scan-003,0.384437,0.384437,861,3,0,[1.2375635  1.29412061 1.3644777  1.48830503],1.3461167080077274,1,0.5393010000002505,2.199600000000146,1.1237999999999886,295.0,0.7217451523545706
56,3b6b41b6-68bb-4a9a-bfeb-5f8cf97a1c2a,15,2019-05-29 00:00:00,2019-05-29 14:27:01,ZM_1745,0.553699,0.553699,419,3,0,[3.8855 4.142  4.3211 4.0123],4.090224999999883,1,0.577000000000055,4.440400000000011,0.981499999999869,87.0,2.7298781465448134
57,3e97e1d3-2a0f-44e5-b63f-36196d78457a,35,2018-08-17 00:00:00,2018-08-17 11:45:43,IBL_34,0.54717,0.54717,212,3,0,[0.97318128 0.80431383 0.71101448 0.67515436],0.7909159870469011,3,0.5225576313515603,2.2887736320159853,0.19893589953426272,50.0,4.533333333333333
58,3eee82bf-8ccf-42ac-9e26-472caed5f265,9,2019-03-28 00:00:00,2019-03-28 13:05:56,NYU-02,0.528833,0.528833,711,3,0,[2.7252  3.0543  5.11255 4.6383 ],3.8825875000001133,0,0.6674009999996997,5.3566009999995,0.8573999999998705,127.0,0.4580280091472066
59,3fa7fdbe-92b4-4836-b6e7-4ee1c4ba2d2a,10,2019-05-22 00:00:00,2019-05-22 12:12:45,CSK-les-006,0.738693,0.738693,597,3,0,[0.4999  1.0297  0.30365 0.2833 ],0.5291374999999761,0,0.3099009999998543,3.370601000000079,1.1239000000000487,39.0,2.0463483146067416
60,3fca1698-9df3-4c2c-bb91-a78d95e1eb44,8,2019-10-11 00:00:00,2019-10-11 13:41:09,dop_8,0.498753,0.498753,401,3,0,[1.21519004 2.52652363 0.46909492 0.39768901],1.152124401855545,0,0.3719500000000835,3.5253989999999362,1.4726000000000568,92.0,7.145203623740581
61,43e29661-4f4e-4bee-8f7f-4e7853e53356,12,2019-09-19 00:00:00,2019-09-19 10:32:23,ZM_2108,0.383754,0.383754,714,3,0,[1.7444999  2.19244668 2.7125383  2.77504202],2.356131725585904,1,0.6129000000000815,3.1974000000004708,0.7643000000000093,204.0,0.3877101898488958
62,45908f39-0e44-4c6d-aeb9-6b1de36f9208,79,2019-03-08 00:00:00,2019-03-08 19:50:23,dop_3,0.444118,0.444118,340,3,0,[5.1593 4.5598 5.4557 5.652 ],5.206699999999955,3,0.4655010000000175,6.221851000000072,0.7150000000000318,77.0,0.49595457058143627
63,45c4db5f-9bcd-47e2-acf2-8b7e882848fd,36,2019-07-16 00:00:00,2019-07-16 14:34:47,LTC01,0.397015,0.397015,335,3,0,[ 8.53510951 14.44377131  7.88389661  8.22189582],9.77116831250001,3,0.6192020000007687,9.14145099999979,0.6706999999996697,93.0,0.1769310463911592
64,47d55843-2e2c-4ade-ad26-98d8f93cd7af,5,2019-07-10 00:00:00,2019-07-10 12:55:16,dop_4,0.841035,0.831933,541,3,0,[0.288971   0.3133502  0.35840566 0.63890548 0.58922346 0.51712539],0.4509968637288111,0,0.3279999999999319,3.278099999999995,0.7075999999999567,11.0,0.8230820105820107
65,49ddf617-fb2b-4f80-97ef-03883d6daa72,18,2020-01-13 00:00:00,2020-01-13 13:32:34,SH008,0.179104,0.179104,134,3,0,[21.64300273 30.3302333  59.85782333 30.42150803],35.56314184863274,1,0.6631009999991875,44.84720049999987,,64.0,0.10725806451612903
66,4ba96259-4afe-42fa-89b6-f2f8d361bf44,15,2019-01-31 00:00:00,2019-01-31 14:57:27,ZM_1095,0.330986,0.330986,142,3,0,[ 7.9248  10.3432  11.11115  9.645  ],9.756037500000005,1,0.6472989999999754,10.588700000000244,2.7651499999999487,56.0,0.06380921688688367
67,4c9577b3-bdd5-4a15-b15b-5bc24a4439d3,22,2019-03-01 00:00:00,2019-03-01 14:09:40,CSHL_002,0.491803,0.491803,305,3,0,[4.94325 3.7002  2.3957  3.6674 ],3.676637500000025,2,0.6664010000000644,4.834600499999965,0.7361000000000786,64.0,1.2501568003087762
68,4db0b36d-9b85-4cae-8d93-a68998c581fc,21,2019-08-14 00:00:00,2019-08-14 13:21:44,SWC_013,0.159091,0.159091,88,3,0,[31.75493516 33.67817418 28.02004545 22.52701963],28.995043601989703,2,,28.157500000000084,,56.0,0.0
