,subject_uuid,day_of_crit,session_date,session_start_time,subject_nickname,performance,performance_easy,n_trials_date,training_day,training_week,reaction_time,median_rt,learning_speed,rt_fast,rt_slow,quiescent_period,rep_errors,bias
0,00778394-c956-408d-8a6c-ca3b05a611d5,25,2019-08-21 00:00:00,2019-08-21 11:21:03,KS019,0.315985,0.315985,269,9,1,[3.79678164 3.0697053  2.85544054 3.85390284],3.393957580200265,2,0.48880000000008295,6.03780050000006,0.7527000000000044,125.0,24.948240165631475
1,019a22c1-b944-4494-9e38-0e45ae6697bf,16,2019-09-17 00:00:00,2019-09-17 15:04:54,SWC_022,0.787968,0.788066,1014,9,1,[0.23155449 0.2542717  0.48661741 0.72043459 0.552501   0.58269885],0.47134634114581786,1,0.2742005000000063,2.0261504999999147,0.9653000000000702,54.0,0.530336751340014
2,02120449-9b19-4276-a434-513886c2fb19,50,2019-03-18 00:00:00,2019-03-18 19:50:10,ibl_witten_07,0.390828,0.390828,1003,9,1,[2.15925 2.5134  1.3295  1.0383 ],1.7601125000000195,3,0.5143005000002177,3.0629999999998745,0.7438000000001921,353.0,5.472649430080623
3,034fd43f-ee35-450b-99ef-25475ce25fdc,9,2019-02-04 00:00:00,2019-02-04 15:01:38,ZM_1092,0.813559,0.957944,1003,9,1,[0.30605 0.34715 0.47545 0.5807  1.7219  0.9753  0.44075 0.3337  0.2943 ],0.608366666666692,0,0.3366999999999507,3.0003999999998996,1.1364000000003216,30.0,0.7969958926353998
4,05e97eea-64e2-4e52-a78a-5b78875b4fa3,49,2019-03-27 00:00:00,2019-03-27 15:49:49,KS004,0.544928,0.544928,345,9,1,[0.4271 0.6267 2.2089 2.6908],1.4883749999999765,3,0.4257000000000062,3.812699000000066,0.657999999999987,64.0,0.17971274055344852
5,063bc242-80a7-4356-abfe-bc9d475fa8e1,41,2018-09-27 00:00:00,2018-09-27 15:06:32,IBL_16,0.540816,0.539642,392,9,1,[0.33734827 0.3754091  2.43723914 0.37428969 0.36876057],0.7786093517344852,3,0.3159042015836633,2.2087776608421734,0.1997045272946707,89.0,1.3251207729468597
6,069f108c-c144-40c1-953d-2502950de79d,15,2019-10-07 00:00:00,2019-10-07 15:16:16,CSK-scan-007,0.681194,0.681194,1239,9,1,[0.92461582 0.96635352 0.44370541 0.47406362],0.7021845932006827,1,0.45150000000001,2.2409999999999854,,55.0,2.268705270006506
7,069f108c-c144-40c1-953d-2502950de79d,15,2019-10-07 00:00:00,2019-10-07 16:00:06,CSK-scan-007,0.681194,0.681194,1239,9,1,[1.63260122 1.75193459 0.46326528 0.40051194],1.0620782578124022,1,0.43750100000000103,3.0396509999998216,,86.0,2.526349239976696
8,0812d02d-d62b-416d-8b66-7956db34ee32,9,2020-03-03 00:00:00,2020-03-03 13:29:20,ibl_witten_19,0.746655,0.902439,1121,9,1,"[0.33150356 0.35299698 0.35181563 0.37938496 0.37095    0.29767366
 0.27371191 0.25311484 0.22866484]",0.3155351547310122,0,0.29830050000032315,1.6449000000002343,1.2475000000004002,31.0,0.7861267794789148
9,082fa374-a10c-4c47-9c50-1c23e7490e30,20,2020-02-27 00:00:00,2020-02-27 14:02:48,SWC_038,0.752981,0.752981,587,9,1,[0.65031689 0.97841494 0.39019242 0.36929023],0.5970536225586045,2,0.3764989999997397,3.28629999999999,,33.0,2.1822653952410658
10,0867050b-3bfe-4ea9-bdde-2e7b619f97fa,29,2019-11-29 00:00:00,2019-11-29 16:09:39,ZM_2242,0.857784,0.864865,668,9,1,[1.82599514 1.59765139 2.53327893 1.72409905 0.72349239 0.58620012],1.4984528372396302,3,0.5905999999999381,2.692200999999841,0.7888999999999768,14.0,1.3417771744805262
11,088b6898-0a86-435e-b91f-eab829a846f6,23,2019-06-13 00:00:00,2019-06-13 13:38:14,SWC_005,0.384785,0.384785,907,9,1,[0.5413  0.5117  0.602   0.66535],0.5800874999999763,2,0.4375005000000556,2.912600999999995,0.6684999999999945,283.0,0.10061761374564572
12,0932d382-3fd4-4688-88d1-a0156cadd488,4,2019-09-03 00:00:00,2019-09-03 19:30:11,CSH_ZAD_007,0.869198,0.99,474,9,1,"[0.32000747 0.40129614 0.45840765 0.5805219  0.87493223 0.5922428
 0.43959294 0.33061985 0.31320959]",0.47898117415359326,0,0.3851010000000201,5.732800999999881,0.6393499999999221,7.0,1.213552824444695
13,0936a724-2151-446f-98b2-92c3e9dd36dc,10,2019-03-18 00:00:00,2019-03-18 15:55:52,CSHL_007,0.849885,0.902778,433,9,1,"[0.6272  0.6732  0.8903  0.63945 1.43415 1.3024  0.4924  0.482   0.38085
 0.3756 ]",0.7297549999999688,0,0.43104999999999905,1.981300000000033,0.6768999999999323,9.0,0.8852465700364911
14,0a47477d-e76f-43d8-a5b3-9b985707ad3f,12,2020-02-07 00:00:00,2020-02-07 10:05:32,DY_013,0.74026,0.730088,385,9,1,"[0.5684021  0.44787151 0.38148567 3.23248076 0.88180207 0.51758371
 0.50512805 0.45099999]",0.873219233474736,1,0.34569999999993684,9.522600000000011,,48.0,1.7387024608501118
15,0bde9528-5bed-4ba5-a95a-a250cd769bbe,57,2019-11-28 00:00:00,2019-11-28 10:54:29,SWC_029,0.381215,0.381215,362,9,1,[1.94723726 2.71317725 2.26866572 3.02137014],2.4876125913086327,3,0.6573999999999955,3.0205009999999675,0.7290500000000293,117.0,0.20879248347059506
16,0cd0b05f-fbee-40c0-b2e2-07708c90dead,31,2020-02-07 00:00:00,2020-02-07 10:06:22,DY_015,0.393519,0.393519,216,9,1,[0.82505625 0.97795693 0.25882896 0.24477962],0.5766554397583685,3,0.2723000000000013,32.82299999999998,,77.0,18.25077399380805
17,0f0f8900-194e-4333-acac-9ff11bcc354b,11,2020-02-11 00:00:00,2020-02-11 17:22:20,CSK-scan-014,0.72549,0.971963,561,9,1,"[0.27188928 0.35888942 0.32771623 0.40239768 0.360997   0.5091633
 0.38560354 0.34189514 0.30436352]",0.3625461239691816,0,0.31500099999993836,3.6911009999998896,,18.0,1.0239490630200418
18,0f47b24d-3909-428c-a18d-666006c7c834,28,2019-10-31 00:00:00,2019-10-31 10:29:13,NYU-11,0.202899,0.202899,69,9,1,[24.66096473 13.61439854 47.71020156 60.0317915 ],36.50433908386232,2,0.7671999999999954,59.66104999999993,0.5975999999999999,34.0,1.9773755656108596
19,0fbb1324-1ac7-445a-8831-8fc2225338ca,5,2019-09-04 00:00:00,2019-09-04 19:49:44,CSH_ZAD_010,0.872531,1.0,557,9,1,"[0.22350395 0.22770591 0.26298674 0.32448723 1.88601394 0.67877775
 0.37399194 0.34212563 0.32740801]",0.5163334552951981,0,0.27260099999989507,2.833151500000099,0.6867999999999483,4.0,1.2304600740349023
20,10a1fd99-5d9d-4a64-827b-f198627e330f,7,2019-10-07 00:00:00,2019-10-07 14:17:29,CSK-scan-006,0.907912,1.0,771,9,1,"[0.30040206 0.31617744 0.38144291 0.60128867 1.69937853 0.45941993
 0.40713811 0.33229863 0.30509419]",0.5336267191840484,0,0.34545050000002675,2.312200999999959,,7.0,1.120670851409321
21,10fd3170-6c52-4cb6-986f-aa73704277c0,14,2019-06-28 00:00:00,2019-06-28 12:08:42,CSHL_015,0.707586,0.707586,725,9,1,[0.47142227 0.45150703 0.21654502 0.2102832 ],0.33743937988262473,1,0.22759999999993852,2.6128499999998667,1.1778000000000475,83.0,3.2771888496270125
22,11a7eff3-48db-42e3-9727-344270357e24,16,2019-06-06 00:00:00,2019-06-06 15:12:12,ZM_1742,0.854015,0.88806,411,9,1,[0.634   0.6938  0.6763  0.45675 0.4404  0.4222 ],0.55390833333333,1,0.40934999999999633,1.8088999999999942,0.6381000000000014,14.0,1.2582712532865905
23,1208c089-8b8e-4a87-98f0-05a68fb18370,63,2018-09-27 00:00:00,2018-09-27 13:07:02,IBL_13,0.630802,0.630021,474,9,1,[0.34050036 0.31942725 0.16907462 0.45314488 0.63324764],0.3830789523068233,3,0.24964630231448837,1.9614585966528182,0.19937405750897597,54.0,0.6319066147859922
24,122205e8-0a31-41ce-9632-30e7857a959d,44,2018-08-27 00:00:00,2018-08-27 13:07:59,IBL_35,0.616794,0.616794,655,9,1,[0.51636292 0.65659027 0.45877014 0.42445228],0.5140439045069343,3,0.3880581787253732,1.800617373335399,0.19843709181986924,59.0,0.5302403631907309
25,13e59361-a2e8-4e2d-8636-ae0961fd941c,6,2019-02-08 00:00:00,2019-02-08 16:33:51,ZM_1093,0.782796,0.979381,465,9,1,[0.264   0.3106  0.3084  0.8188  2.76355 0.63415 0.4352  0.30035 0.26945],0.6782777777777866,0,0.28600100000016937,6.737100500000047,0.7075999999999567,18.0,1.0643034545044028
26,155b6df6-02eb-4153-a997-c8dbe283a0dc,21,2019-05-31 00:00:00,2019-05-31 11:05:19,CSK-les-008,0.756705,0.774854,522,9,1,[0.1967 0.2292 0.2241 0.2861 0.2651 0.2738],0.24583333333335133,2,0.22860000000002856,5.201299999999719,1.2684000000000424,40.0,0.5264918032786886
27,15f98ab5-20d8-4345-a5de-21912a39575f,29,2019-11-15 00:00:00,2019-11-15 09:33:14,CSHL047,0.748571,0.748571,700,9,1,[0.33660051 0.33567209 0.41307522 0.4179926 ],0.3758351064452796,3,0.35010099999976774,1.546650499999929,,40.0,1.0588428140314892
28,1627878b-0863-4241-9396-43f89d6d70af,5,2019-12-03 00:00:00,2019-12-03 11:44:47,DY_010,0.782274,0.957265,519,9,1,"[0.24701011 0.30640012 0.37591516 0.47556816 0.44109733 0.27894102
 0.2829123  0.26391187 0.23730092]",0.3232285543653609,0,0.2722999999999729,3.7240500000000303,,18.0,1.483220004386927
29,16816978-d32d-4647-83b4-055fcf993bf8,10,2020-01-23 00:00:00,2020-01-23 10:31:29,NYU-20,0.889047,0.922414,703,9,1,"[ 0.34393574  0.37398015  0.40441465  0.56886582  0.63409123 10.72297424
  1.46752483  1.19180655  0.99280159  0.90846855  0.93842511]",1.6861171339223013,0,0.4133500000000936,1.8704999999999927,,6.0,0.8871202265248336
30,18a54f60-534b-4ed5-8bda-b434079b8ab8,15,2019-08-14 00:00:00,2019-08-14 10:21:24,KS014,0.655582,0.655582,842,9,1,[0.33714833 0.34373091 0.28110239 0.28617739],0.31203975341804835,1,0.30100199999992583,2.1049020000000382,1.7089999999998327,90.0,3.0762262128115787
31,19cf7867-e2d2-4a12-93be-9371fe1a293c,14,2019-03-18 00:00:00,2019-03-18 17:23:14,CSHL_010,0.748815,0.748815,633,9,1,[0.41945 0.44495 0.9205  1.0528 ],0.7094249999999249,1,0.39440100000047096,2.1456009999999424,1.3218999999999141,29.0,0.5541390920701266
32,1a8fa9b4-399b-4175-8c32-e552aaa2541b,12,2019-04-03 00:00:00,2019-04-03 15:56:00,ZM_1373,0.859485,0.917857,427,9,1,[0.28785 0.3157  0.36935 0.7492  0.5437  0.40635],0.4453583333333319,1,0.3082999999999174,2.95494999999994,0.8261999999999716,10.0,1.2524759793052476
33,1c420533-3f46-43dd-98bf-4a4c30093f11,11,2019-06-13 00:00:00,2019-06-13 08:46:13,CSK-les-009,0.780018,0.972,1091,9,1,[0.21385 0.2408  0.31555 0.3415  0.5462  0.53425 0.4798  0.4792  0.4043 ],0.395049999999944,0,0.2793990000004669,3.055049000000025,0.6920000000000073,62.0,1.6071950759954778
34,1d1e50b4-bbc9-46f6-acf9-f0fe16c3849e,8,2020-02-21 00:00:00,2020-02-21 15:28:35,ZM_3004,0.694021,0.918478,853,9,1,"[0.28301074 0.34759669 0.38291662 0.3788467  0.32000349 0.33137472
 0.29913751 0.25546837 0.25699729]",0.31726134939232037,0,0.2920000000000016,4.588900999999851,,45.0,1.5531571403821014
35,1d785ee9-76b0-42b2-9cd2-3982ccd4bf88,22,2019-06-06 00:00:00,2019-06-06 16:32:22,ZM_1747,0.754545,0.967593,990,9,1,[0.22005 0.2476  0.28125 0.25805 0.30075 0.2591  0.2627  0.25235 0.21685],0.2554111111111139,2,0.2418999999999869,5.05150000000026,0.6201999999999543,40.0,0.6944308802217882
36,1fce4668-e99f-4e50-9f75-961842781a23,81,2018-08-27 00:00:00,2018-08-27 13:46:43,IBL_36,0.486989,0.486989,538,9,1,[0.35110962 0.41955504 0.35433763 0.41039794],0.383850057874497,3,0.3027237839618522,3.631233380816184,0.38976992467087257,150.0,0.8616255144032923
