lab,subject,date,probe
danlab,DY_010,2020-01-23,00
danlab,DY_010,2020-02-04,00
churchlandlab,CSHL049,2020-01-13,00
mainenlab,ZM_1897,2019-12-06,00
mainenlab,ZM_2240,2020-01-22,01
mainenlab,ZM_2240,2020-01-24,00
mainenlab,ZM_2241,2020-01-28,00
