,subject,date,eid,probe,region,f1,f1_shuffle,accuracy,accuracy_shuffle,auroc,auroc_shuffle
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,GRN,0.3604852327781779,0.43423710129128323,0.5041813110181311,0.5009623430962343,0.49294024771430806,0.4981899663983746
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,IO,0.18260915948002918,0.4287186257669817,0.5207587168758717,0.4996471408647141,0.47159852309134953,0.4962848558255841
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,MY,0.3535563626437955,0.43369698214495833,0.5065104602510461,0.4997503486750348,0.4909099320153161,0.495953649292803
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,NOD,0.45617263591718377,0.4255703886922211,0.5145885634588563,0.5016582984658299,0.5196777721340939,0.49694601859810894
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,PRP,0.5202820109021852,0.4422581218348793,0.5103556485355648,0.4982649930264993,0.5323184066578104,0.4963886496835196
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,V4,0.20193662396393747,0.4279731459594971,0.5408549511854951,0.5000543933054393,0.5111893099945299,0.49606476127217314
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,arb,0.4432030894473614,0.43201558987290917,0.5096666666666666,0.4990502092050209,0.5095272759240447,0.49545595452059077
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,cbc,0.2734037276068032,0.4281256650928688,0.5422775453277545,0.49958158995815904,0.5106442213018676,0.4948973548487927
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,chpl,0.3351351800495797,0.4275681172944278,0.5122663877266389,0.5002524407252441,0.47602986246776585,0.496151695709932
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,mlf,0.4316414062913541,0.43748679673834995,0.4896164574616457,0.49993584379358436,0.4751347581464406,0.49677598655934985
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,tspc,0.5109147547605611,0.4250777098851275,0.5011589958158996,0.5002622036262204,0.5160259435805267,0.495612522466203
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,MB,0.4941151756819148,0.4822286057550592,0.4608516902944384,0.5023893129770992,0.4655827032452325,0.49676123882808393
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,MRN,0.6343883382222011,0.46936792069031935,0.5009149400218103,0.5007404580152672,0.43446301199636767,0.49644927830617025
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl2/3,0.6381350456869516,0.47771048904618635,0.527236641221374,0.5014274809160305,0.4890870238493524,0.49646047411939015
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl5,0.4703458897533739,0.4742024207436681,0.482752453653217,0.5009345692475463,0.4673512283133394,0.496086925871051
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl6a,0.520102960309748,0.4729787513050594,0.5134242093784079,0.5016575790621591,0.5227420255221527,0.4965859078526024
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPv2/3,0.35696288745392263,0.48451219794430933,0.5082442748091602,0.5018778625954198,0.5248823089423122,0.4952844811929456
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPv5,0.5160968832750062,0.4761729895795744,0.4915616139585605,0.501752453653217,0.47460581417578745,0.49638236390574964
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPv6a,0.3592827063629534,0.4824072521544538,0.4732791712104689,0.5027033805888768,0.463734103618028,0.4976132055632557
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,SCdg,0.557013118062563,0.4823162182616101,0.521264994547437,0.5022246455834242,0.5199732351957175,0.4963378076757635
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,SCig,0.5993898525956619,0.48137376619289113,0.4817284623773173,0.5023991275899673,0.4514573101371697,0.49652077378960957
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,SCiw,0.5108987934851137,0.4741600484542317,0.49765430752453654,0.5009629225736096,0.4800673039239115,0.4960524207809587
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,SCop,0.6153482987407773,0.4764975741480086,0.518948745910578,0.5014689203925845,0.49586807819146395,0.49559917315872487
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,SCsg,0.4412389896599491,0.4811815642268598,0.48129989094874587,0.5020141766630315,0.48261771734454906,0.4954750298714333
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe01,ICe,0.2061916893176887,0.47979303164958526,0.468990185387132,0.5009607415485279,0.4749907040099412,0.494496479950294
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe01,MB,0.4775408504215541,0.4696417197454423,0.5037557251908397,0.5004078516902944,0.5009185465755389,0.4960419968455766
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe01,NLL,0.5409313525811531,0.47592508740913286,0.49902508178844057,0.5009629225736096,0.4730525307078335,0.496272181331549
