,subject,date,eid,probe,region,f1,f1_shuffle,accuracy,accuracy_shuffle,auroc,auroc_shuffle
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,GRN,0.3504126700387759,0.42351612921042653,0.5063430962343096,0.5001715481171548,0.49427610377432213,0.4952966906306166
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,IO,0.17289085175109728,0.4278266528528705,0.5209107391910739,0.4999497907949791,0.4694717003985309,0.4959888528561382
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,MY,0.3392248478908248,0.43479691955673333,0.5064937238493724,0.4988535564853556,0.4881742439634289,0.4954169219348285
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,NOD,0.44865237773731376,0.42255459148180374,0.5157642956764296,0.5010571827057183,0.5208228217550989,0.49650117996405413
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,PRP,0.5064278629822947,0.43593769621089834,0.5146039051603905,0.5002538354253835,0.5346702899116981,0.49762345862311486
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,V,0.19934185569437757,0.4396549247186338,0.5397782426778243,0.5000083682008368,0.50904860514183,0.4969931741814488
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,arb,0.4528594755989557,0.4275849028913882,0.5091799163179916,0.5007266387726639,0.5116957490036727,0.4966728451980933
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,cbc,0.2747761416221233,0.42239530106847495,0.5413403068340307,0.5008619246861925,0.5106826951629287,0.4958477690083613
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,chpl,0.3435316347869187,0.4309399785391464,0.5091854951185495,0.499534170153417,0.4758382433382824,0.49516830897866687
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,mlf,0.42861467063321723,0.42733359003792787,0.4913723849372385,0.5009776847977685,0.4757866453074939,0.4972969758537157
