,subject,date,eid,probe,region,f1_left,f1_left_shuf,accuracy_left,accuracy_left_shuf,auroc_left,auroc_left_shuf,f1_right,f1_right_shuf,accuracy_right,accuracy_right_shuf,auroc_right,auroc_right_shuf
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,GRN,0.435431183948318,0.49300871823372244,0.3606620370370371,0.41662037037037036,0.4433970007892659,0.4958982636148382,0.435431183948318,0.49300871823372244,0.3606620370370371,0.41662037037037036,0.4433970007892659,0.4958982636148382
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,IO,0.7110106825891094,0.48362507835296364,0.5734444444444443,0.4103611111111111,0.4235850828729281,0.49443401736385156,0.7110106825891094,0.48362507835296364,0.5734444444444443,0.4103611111111111,0.4235850828729281,0.49443401736385156
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,MY,0.5342200524819776,0.4861351798098741,0.4332638888888889,0.4109953703703704,0.5063544593528019,0.4913133385951065,0.5342200524819776,0.4861351798098741,0.4332638888888889,0.4109953703703704,0.5063544593528019,0.4913133385951065
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,NOD,0.5333003390205042,0.4863854153366656,0.4443611111111111,0.4117361111111111,0.4801500394632991,0.4887645619573796,0.5333003390205042,0.4863854153366656,0.4443611111111111,0.4117361111111111,0.4801500394632991,0.4887645619573796
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,PRP,0.4490064018099241,0.4828760516993484,0.379625,0.4088009259259259,0.5147877663772692,0.49330899763220204,0.4490064018099241,0.4828760516993484,0.379625,0.4088009259259259,0.5147877663772692,0.49330899763220204
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,arb,0.4229584210756543,0.49347711293708607,0.35541666666666666,0.41779629629629633,0.48112588792423044,0.49192036306235193,0.4229584210756543,0.49347711293708607,0.35541666666666666,0.41779629629629633,0.48112588792423044,0.49192036306235193
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,cbc,0.46259772986191033,0.4793833390204499,0.38796759259259256,0.4067037037037037,0.44697884767166535,0.49390063141278606,0.46259772986191033,0.4793833390204499,0.38796759259259256,0.4067037037037037,0.44697884767166535,0.49390063141278606
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,tspc,0.3440952714478163,0.4811627979749676,0.31283333333333335,0.40789351851851846,0.45532573007103394,0.4963512233622731,0.3440952714478163,0.4811627979749676,0.31283333333333335,0.40789351851851846,0.45532573007103394,0.4963512233622731
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,MRN,0.7519696835632168,0.3732046424066731,0.6365974842767295,0.3689622641509434,0.5612733204134366,0.4971569444444444,0.7519696835632168,0.3732046424066731,0.6365974842767295,0.3689622641509434,0.5612733204134366,0.4971569444444444
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl,0.3251301607735542,0.3867843487683552,0.3402767295597484,0.3757515723270441,0.5020944444444444,0.4941452196382429,0.3251301607735542,0.3867843487683552,0.3402767295597484,0.3757515723270441,0.5020944444444444,0.4941452196382429
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl,0.3079270389923616,0.3745019494395299,0.33124213836477984,0.36710062893081763,0.5030019702842377,0.49494919250645997,0.3079270389923616,0.3745019494395299,0.33124213836477984,0.36710062893081763,0.5030019702842377,0.49494919250645997
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl,0.3196262203993572,0.3858908638896761,0.3384528301886792,0.37390566037735845,0.5033286821705426,0.49582403100775196,0.3196262203993572,0.3858908638896761,0.3384528301886792,0.37390566037735845,0.5033286821705426,0.49582403100775196
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPv,0.35863763599914533,0.3801878193065759,0.3648867924528302,0.3695314465408805,0.48233187984496123,0.49668355943152454,0.35863763599914533,0.3801878193065759,0.3648867924528302,0.3695314465408805,0.48233187984496123,0.49668355943152454
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPv,0.3499287581990509,0.38676319041874035,0.3586446540880503,0.3752389937106918,0.48286169250645994,0.49736204780361754,0.3499287581990509,0.38676319041874035,0.3586446540880503,0.3752389937106918,0.48286169250645994,0.49736204780361754
