,subject,date,eid,probe,region,f1,accuracy,auroc,chance_level
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,ACB,0.2018348623853211,0.5028571428571429,0.4151326711909824,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,CP,0.3053435114503817,0.48,0.44910144758686976,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.49101796407185627,0.5142857142857142,0.5046675210438937,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.49101796407185627,0.5142857142857142,0.5046675210438937,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.49101796407185627,0.5142857142857142,0.5046675210438937,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.49101796407185627,0.5142857142857142,0.5046675210438937,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.49101796407185627,0.5142857142857142,0.5046675210438937,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,fa,0.6027777777777777,0.4552380952380952,0.5469664754026738,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,scwm,0.09219858156028368,0.5123809523809524,0.47337838231439133,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,void,0.2906976744186046,0.5352380952380953,0.5416872979349314,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,CP,0.1342756183745583,0.5333333333333333,0.39142370314274894,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,MOs,0.2765432098765432,0.4419047619047619,0.42104534995485393,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,MOs,0.2765432098765432,0.4419047619047619,0.42104534995485393,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,MOs,0.2765432098765432,0.4419047619047619,0.42104534995485393,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,MOs,0.2765432098765432,0.4419047619047619,0.42104534995485393,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,MOs,0.2765432098765432,0.4419047619047619,0.42104534995485393,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,fa,0.2715404699738903,0.4685714285714286,0.4698759211254478,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,scwm,0.15602836879432624,0.5466666666666666,0.5229808056388897,0.5295238095238095
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,void,0.5718654434250764,0.4666666666666667,0.4083097894154312,0.5295238095238095
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,AON,0.3859649122807018,0.48148148148148145,0.5428316295110235,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,DP,0.6157354618015963,0.5007407407407407,0.4457137578519522,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,FRP,0.6981891348088531,0.5555555555555556,0.5019662871923003,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,MOs,0.47151898734177217,0.5051851851851852,0.49550877131244164,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,MOs,0.47151898734177217,0.5051851851851852,0.49550877131244164,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,MOs,0.47151898734177217,0.5051851851851852,0.49550877131244164,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,MOs,0.47151898734177217,0.5051851851851852,0.49550877131244164,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,ORBm,0.47293447293447294,0.45185185185185184,0.46653352805588305,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,ORBvl,0.6449359720605354,0.5481481481481482,0.5616059331726286,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,AON,0.5756541524459613,0.4474074074074074,0.4360582760016188,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,DP,0.3876923076923077,0.4103703703703704,0.43135150352788,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,FRP,0.26476578411405294,0.4651851851851852,0.455985079091373,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,0.311377245508982,0.4888888888888889,0.44959354600320234,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,0.311377245508982,0.4888888888888889,0.44959354600320234,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,0.311377245508982,0.4888888888888889,0.44959354600320234,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,0.311377245508982,0.4888888888888889,0.44959354600320234,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,ORBm,0.661957618567104,0.5037037037037037,0.3930374958210899,0.47703703703703704
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,ORBvl,0.60431654676259,0.5111111111111111,0.5126994879735365,0.47703703703703704
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe00,ACB,0.5890652557319224,0.4452380952380952,0.44455972885107564,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe00,CP,0.34421364985163205,0.4738095238095238,0.42063821447511013,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe00,MOs,0.5831775700934578,0.46904761904761905,0.5394272670678564,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe00,ccg,0.5791366906474821,0.44285714285714284,0.4617025201171291,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,ACB,0.3620689655172414,0.4714285714285714,0.41924327315487303,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,CP,0.5273159144893111,0.5261904761904762,0.5298701897581333,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,MOs,0.11764705882352942,0.5714285714285714,0.4923566438403542,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,MOs,0.11764705882352942,0.5714285714285714,0.4923566438403542,0.5642857142857143
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,ccg,0.5345211581291759,0.5023809523809524,0.5325793733139655,0.5642857142857143
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CA,0.471264367816092,0.4945054945054945,0.4708515582285402,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CA,0.471264367816092,0.4945054945054945,0.4708515582285402,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CA,0.471264367816092,0.4945054945054945,0.4708515582285402,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CL,0.05490196078431373,0.5586080586080586,0.4692591580098414,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,LD,0.3,0.5128205128205128,0.4618097320940405,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,LP,0.5133531157270029,0.3992673992673993,0.36171405139420454,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,MD,0.3213296398891967,0.5512820512820513,0.5159103335155822,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,PCN,0.4166666666666667,0.5641025641025641,0.5603335155822854,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,CA,0.20178041543026706,0.5073260073260073,0.338135593220339,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,CA,0.20178041543026706,0.5073260073260073,0.338135593220339,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,CA,0.20178041543026706,0.5073260073260073,0.338135593220339,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,CL,0.5867052023121387,0.47619047619047616,0.6391744122471296,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,DG-mo,0.5979112271540471,0.4358974358974359,0.623824494259158,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,LD,0.5760000000000001,0.5146520146520146,0.49378075451066156,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,LP,0.202020202020202,0.5659340659340659,0.5461522689994532,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,MD,0.428842504743833,0.44871794871794873,0.47674275560415524,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,PCN,0.5974025974025974,0.43223443223443225,0.4567796610169491,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,alv,0.05555555555555556,0.5641025641025641,0.4805153089119738,0.5677655677655677
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,ccb,0.49475890985324944,0.5586080586080586,0.5017017495899398,0.5677655677655677
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,CA,0.5648148148148148,0.4918918918918919,0.5060407826496935,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,CA,0.5648148148148148,0.4918918918918919,0.5060407826496935,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,CA,0.5648148148148148,0.4918918918918919,0.5060407826496935,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,LGv,0.5142857142857143,0.4945945945945946,0.5100777934936351,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,SSp-bfd,0.6088631984585741,0.45135135135135135,0.41675506836397924,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,SSp-bfd,0.6088631984585741,0.45135135135135135,0.41675506836397924,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,SSp-bfd,0.6088631984585741,0.45135135135135135,0.41675506836397924,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,alv,0.5265700483091788,0.4702702702702703,0.4603371051390853,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe01,fiber tracts,0.5502183406113537,0.44324324324324327,0.4501856435643565,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,CA,0.3692307692307693,0.44594594594594594,0.45176214049976426,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,CA,0.3692307692307693,0.44594594594594594,0.45176214049976426,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,CA,0.3692307692307693,0.44594594594594594,0.45176214049976426,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,LGv,0.46470588235294114,0.5081081081081081,0.5139085337105139,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,SSp-bfd,0.613107822410148,0.5054054054054054,0.5414603960396039,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,SSp-bfd,0.613107822410148,0.5054054054054054,0.5414603960396039,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,SSp-bfd,0.613107822410148,0.5054054054054054,0.5414603960396039,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,SSp-bfd,0.613107822410148,0.5054054054054054,0.5414603960396039,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,SSp-bfd,0.613107822410148,0.5054054054054054,0.5414603960396039,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,SSp-bfd,0.613107822410148,0.5054054054054054,0.5414603960396039,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,alv,0.45742092457420924,0.3972972972972973,0.42005539839698247,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,fiber tracts,0.22881355932203387,0.5081081081081081,0.3386963696369637,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,fp,0.5076142131979696,0.4756756756756757,0.5346829325789721,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,or,0.39860139860139865,0.5351351351351351,0.49805516265912303,0.5459459459459459
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,void,0.5695652173913044,0.4648648648648649,0.4736120933521923,0.5459459459459459
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe00,CP,0.46353322528363056,0.387037037037037,0.41806637806637803,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe00,MOp,0.46020761245674735,0.4222222222222222,0.4964718614718614,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe00,MOp,0.46020761245674735,0.4222222222222222,0.4964718614718614,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe00,MOp,0.46020761245674735,0.4222222222222222,0.4964718614718614,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe00,MOs,0.3832599118942731,0.48148148148148145,0.44575757575757574,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe00,fa,0.17843866171003717,0.5907407407407408,0.5013347763347764,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe00,scwm,0.26666666666666666,0.49074074074074076,0.4126334776334776,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe01,ACB,0.5266187050359712,0.3907407407407407,0.5468470418470419,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe01,CP,0.509532062391681,0.4759259259259259,0.5057287157287157,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe01,MOp,0.46633825944170776,0.39814814814814814,0.45758297258297265,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe01,MOp,0.46633825944170776,0.39814814814814814,0.45758297258297265,0.6111111111111112
0,DY_014,2020-07-17,bd456d8f-d36e-434a-8051-ff3997253802,probe01,fa,0.2112676056338028,0.5851851851851851,0.49331890331890327,0.6111111111111112
0,DY_014,2020-07-16,b658bc7d-07cd-4203-8a25-7b16b549851b,probe00,CP,0.3097199341021417,0.49820359281437127,0.5663011139555801,0.46467065868263474
0,DY_014,2020-07-16,b658bc7d-07cd-4203-8a25-7b16b549851b,probe00,MOp,0.11923076923076924,0.45149700598802395,0.39189960561821074,0.46467065868263474
