,subject,date,eid,probe,region,f1_left,f1_left_shuf,accuracy_left,accuracy_left_shuf,auroc_left,auroc_left_shuf,f1_right,f1_right_shuffle,accuracy_right,accuracy_right_shuf,auroc_right,auroc_right_shuf
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,GRN,0.4459396874750373,0.4769896983434428,0.37549074074074074,0.41110185185185183,0.451103314917127,0.4921296764009471,0.4459396874750373,0.4769896983434428,0.37549074074074074,0.41110185185185183,0.451103314917127,0.4921296764009471
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,IO,0.7428436335571417,0.4782172764009293,0.6113842592592592,0.41255555555555556,0.43934806629834255,0.4910296764009471,0.7428436335571417,0.4782172764009293,0.6113842592592592,0.41255555555555556,0.43934806629834255,0.4910296764009471
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,MY,0.5144445979604806,0.4777057956792101,0.42131944444444447,0.4124305555555555,0.49478066298342543,0.4911595106550908,0.5144445979604806,0.4777057956792101,0.42131944444444447,0.4124305555555555,0.49478066298342543,0.4911595106550908
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,NOD,0.5495096668610502,0.48270414984147103,0.46585185185185185,0.417125,0.4784874506708761,0.49523914759273874,0.5495096668610502,0.48270414984147103,0.46585185185185185,0.417125,0.4784874506708761,0.49523914759273874
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,PRP,0.4844513118765624,0.49259456562619536,0.41665277777777776,0.42319907407407414,0.5054853985793212,0.4924134175217048,0.4844513118765624,0.49259456562619536,0.41665277777777776,0.42319907407407414,0.5054853985793212,0.4924134175217048
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,V4,0.17678326996458937,0.4927933724399222,0.22682407407407412,0.42251388888888886,0.4152186266771902,0.4922397000789266,0.17678326996458937,0.4927933724399222,0.22682407407407412,0.42251388888888886,0.4152186266771902,0.4922397000789266
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,arb,0.4395304139945248,0.4777806516192008,0.37399074074074073,0.4125509259259259,0.47860031570639305,0.49392565114443565,0.4395304139945248,0.4777806516192008,0.37399074074074073,0.4125509259259259,0.47860031570639305,0.49392565114443565
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,cbc,0.508392050760727,0.49172641345621343,0.4368055555555556,0.4238611111111111,0.4478995264404104,0.49245295974743486,0.508392050760727,0.49172641345621343,0.4368055555555556,0.4238611111111111,0.4478995264404104,0.49245295974743486
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,chpl,0.8217160840146439,0.4831575463056087,0.7109953703703703,0.4162916666666666,0.4700534333070245,0.4902566692975533,0.8217160840146439,0.4831575463056087,0.7109953703703703,0.4162916666666666,0.4700534333070245,0.4902566692975533
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,mlf,0.5176129050436578,0.4858993480508697,0.4258703703703704,0.4189027777777778,0.4904597474348856,0.49195169692186264,0.5176129050436578,0.4858993480508697,0.4258703703703704,0.4189027777777778,0.4904597474348856,0.49195169692186264
0,CSHL045,2020-02-27,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,tspc,0.3576246633415129,0.49272728408860117,0.3311574074074074,0.42364351851851856,0.4674318074191003,0.4891913970007893,0.3576246633415129,0.49272728408860117,0.3311574074074074,0.42364351851851856,0.4674318074191003,0.4891913970007893
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,MRN,0.7794709919632138,0.40484525453008907,0.6656761006289307,0.3953679245283019,0.5606874677002583,0.49412832687338504,0.7794709919632138,0.40484525453008907,0.6656761006289307,0.3953679245283019,0.5606874677002583,0.49412832687338504
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl5,0.2418189320745953,0.40571807784875363,0.2944088050314465,0.3957138364779874,0.5036739987080103,0.49213556201550385,0.2418189320745953,0.40571807784875363,0.2944088050314465,0.3957138364779874,0.5036739987080103,0.49213556201550385
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPagl6a,0.3356597169231321,0.4134090302531607,0.3731635220125786,0.3994622641509434,0.49658478682170537,0.4948527131782946,0.3356597169231321,0.4134090302531607,0.3731635220125786,0.3994622641509434,0.49658478682170537,0.4948527131782946
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPv5,0.6260535637975663,0.4202853632943905,0.5691006289308176,0.4024622641509434,0.4653567829457364,0.4941935723514212,0.6260535637975663,0.4202853632943905,0.5691006289308176,0.4024622641509434,0.4653567829457364,0.4941935723514212
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,RSPv6a,0.21893342579679517,0.41496310479007426,0.27879245283018866,0.4015440251572327,0.4975358204134367,0.4939167312661499,0.21893342579679517,0.41496310479007426,0.27879245283018866,0.4015440251572327,0.4975358204134367,0.4939167312661499
0,CSHL045,2020-02-26,fa704052-147e-46f6-b190-a65b837e605e,probe00,SCiw,0.43241140972846437,0.3999345381990078,0.3980345911949686,0.3903364779874214,0.4993142441860465,0.4942866279069767,0.43241140972846437,0.3999345381990078,0.3980345911949686,0.3903364779874214,0.4993142441860465,0.4942866279069767
