,subject,date,eid,probe,region,f1,f1_shuffle,accuracy,accuracy_shuffle,auroc,auroc_shuffle
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,APN,0.3142544172821978,0.3448473654577118,0.4928076190476191,0.5078266666666668,0.425643083913436,0.48803770424955584
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,CA,0.3591243536579437,0.36946099797808357,0.5020171428571428,0.506207619047619,0.47800302187399885,0.490694120816707
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,DG-mo,0.3932800505075546,0.3978510119209034,0.5008476190476191,0.503792380952381,0.4811286444528588,0.49254639850872345
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,DG-sg,0.3614098412197316,0.3400974522657652,0.5129466666666667,0.5077790476190476,0.47081480645443163,0.4891558049107273
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,SNr,0.45041421163908824,0.3545906996129504,0.5601161904761904,0.5063409523809523,0.5215027597355315,0.4883405615588501
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,ACB,0.3555734405991037,0.37004199958438116,0.49196761904761904,0.5062780952380953,0.4720841100399033,0.49030565345294624
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,CP,0.3432955304452769,0.3532988209578515,0.4834114285714286,0.5063295238095238,0.453106763172458,0.48870615005970935
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.42137725661548825,0.39385477664610685,0.5041961904761905,0.50408,0.48369916698220367,0.49182162933620716
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.42151743101103134,0.3965046820446455,0.5031657142857143,0.5034895238095238,0.48272355314129267,0.49174860192817405
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.419830023633893,0.39522145599559133,0.5025142857142857,0.5039733333333334,0.4817403008767076,0.4913194666938514
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.42262074599855054,0.391720845874696,0.5043752380952381,0.5040457142857143,0.4857241211079719,0.491610192817406
