,subject,date,eid,probe,region,f1,f1_shuffle,accuracy,accuracy_shuffle,auroc,auroc_shuffle
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,APN,0.2863855450271065,0.43516739946252464,0.46708571428571427,0.4988533333333333,0.4284895945591705,0.4944066641423703
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,CA,0.5220008392089711,0.42998419684578393,0.46902666666666665,0.4992342857142857,0.4293667098709696,0.4931196370838552
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,DG-mo,0.40373835017584964,0.4255406639593115,0.47201333333333334,0.4999123809523809,0.4513692657210264,0.49496441470305536
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,DG-sg,0.5146744888096492,0.4366568697941317,0.461207619047619,0.49956190476190476,0.447946771327877,0.4985005970931757
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,SNr,0.3107217823008391,0.42228680205872976,0.4721409523809524,0.5016742857142857,0.45130438645035387,0.4962296114525384
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,ACB,0.3739440806191829,0.44501961541839713,0.5096209523809524,0.5001942857142857,0.49978442023708963,0.49528991058165617
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,CP,0.3697773575452909,0.43199385576848237,0.4787161904761905,0.49928761904761904,0.45321145108204935,0.495006779192031
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.4363291671632328,0.44141259953551576,0.5276285714285713,0.4996114285714286,0.5181331590597966,0.49488980718259407
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.4377290788938851,0.4419984730519375,0.526072380952381,0.4997542857142857,0.5152821192438762,0.49507784784318287
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,0.4382303928515629,0.4465668051341366,0.5254819047619047,0.5012685714285715,0.5156028238138234,0.496019245332479
